region,population_density_2010
alabama,94.4
alaska,1.2
arizona,56.3
arkansas,56.0
california,239.1
colorado,48.5
connecticut,738.1
delaware,460.8
district of columbia,9856.5
florida,350.6
georgia,168.4
hawaii,211.8
idaho,19.0
illinois,231.1
indiana,181.0
iowa,54.5
kansas,34.9
kentucky,109.9
louisiana,104.9
maine,43.1
maryland,594.8
massachusetts,839.4
michigan,174.8
minnesota,66.6
mississippi,63.2
missouri,87.1
montana,6.8
nebraska,23.8
nevada,24.6
new hampshire,147.0
new jersey,1195.5
new mexico,17.0
new york,411.2
north carolina,196.1
north dakota,9.7
ohio,282.3
oklahoma,54.7
oregon,39.9
pennsylvania,283.9
rhode island,1018.1
south carolina,153.9
south dakota,10.7
tennessee,153.9
texas,96.3
utah,33.6
vermont,67.9
virginia,202.6
washington,101.2
west virginia,77.1
wisconsin,105.0
wyoming,5.8
